TimeStamp,JobId,JobStateId,Priority,TokenAllocation,QuotaTokens,AUId,VCId,TotalWaitingTimeInMins,random,SLA,JobRegistryId,IsYieldedEnabled,IsYieldForEnabled,YieldScopePriority_X,YieldScopePriority_Y
2020-08-07 09:36:08.613,368fe4de-36d6-46ea-92e4-bff4777d573f,0,1000,110,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,10.696189038333333,f8f44e1c-1e22-4fc9-b2bb-00000581264f,NULL,4923,1,1,1,0
2020-10-24 08:27:44.587,7036efad-7827-47af-abab-98efd84b2251,0,1000,180,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,1.4754603916666666,5a5e5510-c040-4bd1-a7be-0000062d2b12,NULL,4923,1,1,1,0
2020-01-04 12:03:40.970,204a87e5-72fa-4fe8-ae6f-4a76ad862713,1,2001,50,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,0.5398046483333333,32741f04-1015-48c3-96e1-00000971e581,NULL,4923,1,1,1,0
2018-04-27 09:02:41.453,aebfca61-9254-4d96-af76-5645a17ee58e,0,1000,80,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,4.388691725,34d2287a-638a-4cb3-83aa-00000eddc431,NULL,4923,1,1,1,0
2020-11-25 10:45:51.093,38e54d33-7511-45a8-9b7e-cd4d92a45952,0,1000,250,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,23.82342240166667,43559529-7d35-452a-bc67-00000f443631,NULL,4923,1,1,1,0
2020-11-03 12:36:18.210,d8cd3ff3-9eac-49cf-a46a-fc8f106f3324,0,1200,15,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,8.24203983,6649f03c-670e-4c08-9e4a-000011d522be,NULL,4923,1,1,1,0
2018-09-01 11:42:54.517,50248f0a-0fe9-4088-94a7-f0ec5e35aa33,0,1000,90,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,196.30698304666666,8b376d94-2f93-4ff8-a64a-0000122dbb85,NULL,4923,1,1,1,0
2020-12-07 11:34:21.727,9fd936be-fe56-4746-86fa-4143fa2f0361,0,1000,70,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,23.708112343333333,4cde23d0-73fc-4a07-98f3-000014a1465f,NULL,4923,1,1,1,0
2019-09-10 18:54:56.750,e95741b0-9cec-4a53-ad7b-b59c8c2b6086,0,1000,21,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,0.6691564783333334,5b716c4b-77d0-4acd-be6a-00001848e653,NULL,4923,1,1,1,0
2021-07-30 11:37:23.280,8cffb537-517c-4efd-9b18-6c89f9d85936,0,1000,180,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,32.311623616666665,1fe9cd28-a930-48ce-b591-00001b0905a1,NULL,4923,1,1,1,0
2020-11-09 09:39:43.473,274db7c2-79c4-488e-ad9a-f1bf19a5d7e0,0,1000,140,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,3.2429039166666667,fbb28e9c-1986-4697-a29f-00001d61bcfc,NULL,4923,1,1,1,0
2020-07-27 12:11:33.987,28ff1238-bb06-40e0-948e-7593c8c29d16,0,1200,31,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,1.6176346766666667,6db607e4-c641-424c-a31e-00001f65642d,NULL,4923,1,1,1,0
2018-08-10 14:08:28.487,7c1557fd-1adc-45f3-be6d-c7d03d966957,0,2001,250,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,120.81112414,d68c1a65-e812-4b48-bc4b-00002130f60b,NULL,4923,1,1,1,0
2020-12-05 10:55:16.157,f37afab2-efef-4080-a269-1e395f5c0665,0,1200,29,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,3.542044555,2def3306-1328-43b8-8d05-0000226fe96b,NULL,4923,1,1,1,0
2020-01-21 09:18:08.677,02cce057-de9a-4896-9760-0f0b174eebe7,0,1000,190,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,0.06883266166666667,90812c39-4b29-4f57-8a21-000025ddf9a5,NULL,4923,1,1,1,0
2019-06-21 20:23:06.320,658cdea2-e631-4cf5-936a-a7e31a88503e,0,1000,29,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,0.638043865,17eeee0e-c0a9-477d-9d2b-000029784032,NULL,4923,1,1,1,0
2018-08-12 13:22:26.080,c7262691-a632-4584-83c1-2f962153d490,0,1000,25,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,18.361497453333335,73f17288-3e86-4397-a3a4-00002aee72f3,NULL,4923,1,1,1,0
2020-10-27 09:12:33.927,69eb5b22-3233-4809-825d-4fbc35fa3aaf,0,1000,250,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,7.069802318333333,3f94a546-1841-48bb-b1bb-00002c861f0c,NULL,4923,1,1,1,0
2021-07-31 11:04:51.650,8fe0721f-4464-42b5-bad9-d604afc51b89,0,2001,49,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,24.381923273333335,170f5eec-8268-4090-89f8-000030388bfc,NULL,4923,1,1,1,0
2020-05-22 08:52:05.767,47f2bdca-9764-4336-b8b3-951cc3d31329,0,1000,60,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,16.23983054,c09b823e-3272-48be-b566-000030c66d4c,NULL,4923,1,1,1,0
2021-07-30 14:43:21.963,9bfe0b64-5b75-458a-987b-2bc647c16669,0,1200,37,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,23.787038435,5d5325a3-e18f-4914-8086-0000354c8341,NULL,4923,1,1,1,0
2020-09-21 08:27:37.453,098913cb-b5ea-46a6-9020-5e66634eb296,0,1000,200,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,4.235146873333333,6ae91264-b7df-43c7-b4fa-0000379aa9b8,NULL,4923,1,1,1,0
2018-09-17 08:42:29.863,3a1a541a-ec0e-4e70-a219-d6987388d127,0,1000,250,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,0.057117121666666666,e22d5baa-419b-48bd-9325-0000399252cf,NULL,4923,1,1,1,0
2021-01-04 12:41:43.987,9e6b5e46-74c7-4042-b54a-fc02130a9f83,0,1200,51,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,43.49037649,6785f731-b44d-4f56-a1a3-00003b0c87d0,NULL,4923,1,1,1,0
2020-04-05 08:12:15.527,82c0661e-e863-46d9-90dd-eb87965660c5,0,1000,200,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,2.2798141866666666,ac5f2d7e-46f6-4da8-85e9-00003b73a500,NULL,4923,1,1,1,0
2021-04-19 14:10:49.600,93add1ad-1568-400a-9490-6f471603b1c6,0,100,50,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,0,57392415-515e-46e4-9722-00003bd368dc,NULL,4923,1,1,1,0
2020-03-03 09:25:52.483,3970c93e-b587-49b4-bd74-31947664c21d,0,1000,250,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,2.9037295383333332,4674a489-e95f-407b-a18b-00003f792ea1,NULL,4923,1,1,1,0
2019-03-02 01:22:24.993,c2e637d7-db56-43d3-a891-01e83f151849,0,2001,50,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,0.8000686850000001,7f4c0bed-0221-4105-a2eb-00003ff9e0a4,NULL,4923,1,1,1,0
2020-12-10 11:49:50.720,666df20e-0bb0-41b6-a17d-22d2fcfb2f42,0,1000,100,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,116.54604673166666,8c0cf67e-e4f3-4921-b193-00004023e054,NULL,4923,1,1,1,0
2020-12-16 09:50:21.090,b735ce49-ab16-4b31-b41a-f3845e34a0ab,0,1000,180,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,9.582545066666667,6d42df03-35e4-491f-971e-00004601e0d5,NULL,4923,1,1,1,0
2020-11-25 10:48:56.937,2051c675-eb48-455c-8952-6044459aa812,0,1000,170,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,35.00529924666667,d306fa94-2076-40d9-b6c3-00004630bca8,NULL,4923,1,1,1,0
2018-09-27 16:16:23.330,b4073f6b-071d-4a4b-be17-b7e50da77e82,1,1000,23,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,15.058637681666667,1ca29770-ddb4-4b6d-8f08-00004b2874f1,NULL,4923,1,1,1,0
2020-10-30 07:46:14.230,8a949ba5-a5c1-45f8-a7ef-1ad64401fb7e,1,100,50,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,1.226477585,802ac374-c7e3-4c2b-a0b8-00004f3fa7f6,NULL,4923,1,1,1,0
2020-12-14 17:53:55.657,a75d272e-358d-4c57-aded-bd8352fe7765,1,100,50,10164,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,100,13.434237305,823815ae-1ab2-4ebb-8d6a-00004f7cf9ed,NULL,4923,1,1,1,0
