JobId,JobDate,VCId,SLA,JobStateId,Allocation,SubmitTime,AUid,QuotaTokens,JobPriority,YieldScopePriority_X,YieldScopePriority_Y,random
bcd87741-f2d4-4a7a-b1f9-d0ad3cae83ae,2021-03-26,100,NULL,2,70,2021-03-26 09:43:20.920,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,52,1,0,4016c5e2-f6e9-463e-b375-002cad036ddb
118cfd12-7f25-4858-8ee7-0a47654053db,NULL,100,2021-05-27 00:00:00.000,2,500,2021-05-27 09:15:12.387,43f21cc4-4e96-4072-a3a1-23ae5f68398e,1875,41,0,10,ffdc8ce3-9ce7-43d0-a6a5-002cb09cc7f1
3765895b-50b2-44de-8e4d-d47ab3012d8e,2020-02-12,100,2020-02-12 02:00:00.000,2,2000,2020-02-12 23:54:22.837,b4304ac2-94a1-403c-b870-87c1030c2af9,10687,51,1,0,126978e4-2c22-442c-adfe-002cc3d1c9b1
167cc45d-d5e6-4cd4-8717-bbde332de7a5,2021-04-22,100,NULL,2,180,2021-04-22 09:11:42.233,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,62,1,0,48d0080d-6293-49b4-9d84-002cc5ba6461
911c32cf-b0ca-45b0-b283-28811be21018,2020-05-22,100,NULL,2,180,2020-05-22 08:18:44.157,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,53,1,0,a86b71f1-688d-4a7a-b8d6-002cc8f511a3
bda4c818-e8a9-4051-92b4-0dbe86463e0f,2021-03-16,100,2021-03-16 00:00:00.000,2,500,2021-03-16 17:47:28.173,b4304ac2-94a1-403c-b870-87c1030c2af9,10687,50,1,0,afbe6b38-2090-4a6b-b0b3-002ce015f549
7bb2d13c-c09b-42e8-a444-ee24783bf823,2018-07-28,100,NULL,2,100,2018-07-28 15:30:37.110,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,50,1,0,d366f5b6-9d21-45bb-8c08-002ce1ecd867
ba8747d2-5dff-44cb-ac2c-9a7baf5b5860,NULL,100,NULL,2,300,2020-11-16 20:24:54.047,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,50,1,0,6eaa339d-dce5-4d23-9b5f-002ce75aded7
f695f0f0-ca9e-4cc8-965d-6cc5b1daae47,2020-02-28,100,NULL,2,250,2020-02-28 09:28:08.940,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,56,1,0,108949d3-fa57-4229-bddc-002cf0ce785a
96c8fe3f-6a63-4e40-820a-bf204976343a,2019-12-11,100,NULL,2,110,2019-12-11 10:17:23.470,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,55,1,0,bdb3d545-da3a-412a-b103-002cfa43e727
6c9c34ed-b7df-4b7a-9daf-145bf8def8a3,2018-01-21,100,NULL,2,250,2018-01-21 09:13:03.940,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,50,1,0,74b09bd6-5c9c-4b8d-8295-002cfc09bf2a
003910f3-a6e2-4b4b-8cf3-ae199940f76c,2018-10-05,100,NULL,2,37,2018-10-05 08:49:19.073,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,64,1,0,d7a641bb-59d5-49d8-aa57-002cfcf10ba3
ac14834a-7ead-4575-9bf0-a8386e9f3aee,2020-04-28,100,NULL,2,23,2020-04-28 12:39:35.620,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,58,1,0,fe4548c0-698a-4980-8d4c-002cfda67e86
f207f8f8-091d-46b3-9f7f-2f32572960ba,2020-04-09,100,NULL,2,200,2020-04-09 08:35:50.190,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,61,1,0,31f89ca5-7c9b-4002-b6fa-002d04f220ac
f45fa6cd-6d42-41d3-8d13-4e0941e47924,2019-07-26,100,NULL,2,140,2019-07-26 11:02:52.490,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,55,1,0,2745fd2d-7c6f-4b0f-8921-002d067617cc
b674d7f0-9c6f-49e8-ac5a-9213710d723e,2020-01-03,100,2020-01-03 00:00:00.000,2,2000,2020-01-04 11:19:15.650,2a2b14d0-55ef-4694-91c4-91030ab3f672,1457,55,1,0,77abf2c8-493c-4440-afe7-002d1a6f3987
3fa176bf-4f0e-413e-ac8a-5fb616ce473c,2020-05-30,100,NULL,2,19,2020-05-30 10:51:09.917,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,53,1,0,7de5d1b3-35a2-4d37-804e-002d2480b18b
60253c1f-dca6-40ac-bdbd-45c26d0008c8,2021-01-03,100,NULL,2,500,2021-01-04 04:36:28.567,83f00d65-a1a6-4dae-a8f2-def4d2209705,9714,51,1,1,fa03b89c-e82e-41f0-9ec1-002d2f85f68f
0e3472b9-e6e2-4ca5-8f23-555e20196b42,2021-03-11,100,2021-03-11 00:00:00.000,2,5000,2021-03-12 00:27:53.737,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,22,0,0,aa5bf825-18fb-426f-971c-002d30d200e0
bb54dce2-901a-4f99-8a6c-2bbb4395fe36,NULL,100,2018-12-03 00:00:00.000,2,234,2018-12-03 11:54:07.093,43f21cc4-4e96-4072-a3a1-23ae5f68398e,1875,41,0,10,5e0e90be-9ea1-4ad6-a55b-002d32832968
28707e3f-365e-4430-95d4-f3d5a13ca0e8,2020-04-30,100,NULL,2,50,2020-05-01 05:06:20.813,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,50,1,0,f5b1478e-3b74-452e-9070-002d3aea828f
95e3117d-8fb9-4968-b358-9768800ad9b3,NULL,100,NULL,2,300,2019-12-06 20:16:44.663,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,50,1,0,ac95dcb5-dd95-4e7d-aced-002d3dc82b9a
4540894c-f326-4b61-aa90-515c63f3a093,2020-06-28,100,NULL,2,200,2020-06-28 09:24:09.113,ebc03cc6-28d7-413d-8ea1-e44f81a28f30,10687,54,1,0,f6fd6467-f31f-4ee4-9aee-002d41494f61
17f40d1e-16b3-40cc-bc2d-2c0ff34ee448,2020-07-03,100,2020-07-03 02:00:00.000,2,2000,2020-07-03 19:17:45.547,b4304ac2-94a1-403c-b870-87c1030c2af9,10687,50,1,0,bbac719c-589c-4828-94cb-002d4ca85464
92c9e814-2ffb-4507-b120-0288e86ff53d,2019-08-15,100,2019-08-15 00:00:00.000,2,5000,2019-08-15 13:21:01.637,75b67fc1-e0c4-4909-ad40-f8f6d0978e01,16516,22,0,1,35f667e2-3c60-4ae8-b61b-002d51f08e28
69fd7f85-f383-4b24-97b9-92fb6ab9531d,NULL,100,2018-07-03 00:00:00.000,2,234,2018-07-03 12:24:21.767,43f21cc4-4e96-4072-a3a1-23ae5f68398e,1875,41,0,10,d5d94eab-d552-4d00-b8c9-002d571d7129
