JobId,AUId,SLA,jobToken,SubmitTime,TotalRunningTimeInMinutes,priorityX,priorityY,IsYieldForEnabled,IsYieldedEnabled,EstimatedRunningTimeInMins
F414F2B4-A11E-4A77-8086-4F197E198FD9,B4304AC2-94A1-403C-B870-87C1030C2AF9,2021-09-14 06:00:00.000,1000,2021-09-14 22:43:41.817,9.13112149,1,0,0,1,40
1BC455DE-0EE0-45F5-8C4E-342621FAA828,B4304AC2-94A1-403C-B870-87C1030C2AF9,NULL,1000,2021-09-14 22:43:50.723,4.201794405,NULL,NULL,1,1,5
D41EAE0B-EB46-4BE3-9388-AC089CAC6804,35EF19A8-64DB-4018-BBBC-B97DE06809B9,NULL,1200,2021-09-14 22:44:03.190,96.77990164,NULL,NULL,1,1,NULL
A65C2A4E-5065-4BA3-A756-6DB553FC235F,35EF19A8-64DB-4018-BBBC-B97DE06809B9,NULL,1200,2021-09-14 22:44:05.223,116.079762805,NULL,NULL,1,1,NULL
2D15EDB4-E499-4B06-838F-4BD23DC40DD7,B4304AC2-94A1-403C-B870-87C1030C2AF9,2021-09-14 00:00:00.000,500,2021-09-14 22:44:08.707,15.9522902583333,1,0,1,1,NULL
B327CA1A-D10E-4007-B497-DD5FCC3A7C44,35EF19A8-64DB-4018-BBBC-B97DE06809B9,NULL,1200,2021-09-14 22:44:14.440,238.330244363333,NULL,NULL,1,1,NULL
B26AFC54-36BC-481A-B3E1-ABAD09A7B4FD,75B67FC1-E0C4-4909-AD40-F8F6D0978E01,2021-09-14 00:00:00.000,8000,2021-09-14 22:44:25.457,18.7935013016667,0,0,1,0,NULL
CD142413-42DE-4BD9-B7EA-631391B88041,75B67FC1-E0C4-4909-AD40-F8F6D0978E01,2021-09-14 00:00:00.000,8000,2021-09-14 22:44:31.253,21.5220911533333,0,0,1,0,NULL
05E16400-4BA3-4B00-8552-0F8ACE37309E,75B67FC1-E0C4-4909-AD40-F8F6D0978E01,2021-09-14 00:00:00.000,8000,2021-09-14 22:44:45.703,25.4304838983333,0,0,1,0,NULL
46AB7721-77D5-482F-B58D-A0079F326F02,CD5E1AFD-BBAE-4EF3-A9F3-20D1492ACA11,NULL,1000,2021-09-14 22:44:53.047,21.5980691666667,NULL,NULL,1,1,NULL
