TimeStamp,JobId,JobStateId,Priority,TokenAllocation,QuotaTokens,AUId,VCId,TotalWaitingTimeInMins,random,SLA,JobRegistryId,YieldScopePriority_X,YieldScopePriority_Y
2021-03-16 11:35:48.900,5e832659-3809-45cf-87ae-212bec34b37c,1,250,700,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,24.681608251666667,cd32c2b0-c60c-4dda-8935-000005ef9c4d,2021-03-16 16:40:00.000,5142,2,0
2021-04-29 11:17:26.020,5bb94f9e-b606-48f4-9f20-80b8906b1031,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,15.419025001666666,f55a7661-fa8a-49cf-808f-0000166a7e01,2021-04-29 16:40:00.000,5142,2,0
2021-04-15 13:24:25.523,7ce2cbb8-0399-4311-aaee-f146ae9bb20e,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,114.51715182000001,d1090a1d-b4cc-4ad5-bf76-00001c424f0c,2021-04-15 16:40:00.000,5142,2,0
2020-12-28 07:23:47.657,a967f87f-be12-4a4c-ae5e-74973d7f61ec,0,200,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,50.288427975,8f892f27-f44a-4eac-899b-0000515f93bc,2020-12-28 16:40:00.000,5142,2,0
2020-12-13 13:04:45.090,0649022a-335c-4a5a-9666-cb3132654801,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,1.1596005383333334,87089e57-b7a6-4dff-90d9-0000929cc5ed,2020-12-13 16:40:00.000,5142,2,0
2021-04-15 13:24:25.523,f596b204-c9d9-4faa-8517-2c4a66cb151a,0,2001,1200,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,91.70426459000001,5f97f3e2-78aa-4f20-8cf2-00009eebd548,2021-04-15 16:40:00.000,5142,2,0
2021-04-11 13:37:45.023,935d489e-88b2-404a-be4f-c01e8f3069ac,0,1000,100,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0.21712782666666666,70e4fcc5-7809-4b59-834c-0000e173a252,2021-04-11 16:40:00.000,5142,2,0
2021-06-17 10:17:17.987,edeb009d-5e78-4b43-862c-766c082d55ec,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,7.172760183333334,38f157d6-4976-4289-a361-0001125e4556,2021-06-17 16:40:00.000,5142,2,0
2021-04-14 12:27:19.857,c52da526-f1fa-4a9b-a6a3-759a0fd9ef44,0,2001,700,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,104.79806289833334,3f8ae21d-3e01-4825-9e0a-0001437876b3,2021-04-14 16:40:00.000,5142,2,0
2020-12-13 11:32:03.357,8c9c2e83-a7b5-4252-b743-4d71353fd73d,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,8.69234675,235c4335-b921-4b41-9471-00017d897033,2020-12-13 16:40:00.000,5142,2,0
2021-01-20 18:42:58.610,c2119447-d13f-4d10-b83e-950ba11eb802,0,200,600,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,93.62305869666667,f9dd699a-3ae7-437d-ae97-0001b318c4f9,2021-01-20 16:40:00.000,5142,2,0
2021-04-15 11:46:53.207,6077d505-5ca4-4646-a77b-d16070af9f80,0,250,1200,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,129.04138977333335,f4197f9b-60bc-4c6e-b0f2-0001e80d8171,2021-04-15 16:40:00.000,5142,2,0
2021-05-17 08:20:34.290,6203cc0d-e2be-4214-bd9c-eca84ec11c17,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0.7905994816666667,eee91324-1f5a-4ac7-8f76-00022ae90f57,2021-05-17 16:40:00.000,5142,2,0
2021-06-05 02:05:44.103,37b05f3e-23ab-41a7-92c9-27f89779af90,0,300,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0,5149d6ce-6842-4a40-bb27-00023c092181,2021-05-17 16:40:00.000,5142,2,0
2021-02-16 11:21:19.937,1e4965be-1b6b-4dce-bad6-2ad70eaddbd8,0,250,100,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,5.137363258333333,a9ee4d05-8840-46c1-aea6-000256afaf94,2021-02-16 16:40:00.000,5142,2,0
2021-01-20 10:46:43.700,87dcbd9a-d616-4ee9-aef9-868901e7a9ce,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,17.038412665,7ca54ecb-fc81-4e4b-9852-000271f518c1,2021-01-20 16:40:00.000,5142,2,0
2020-12-10 12:42:23.937,203a1a30-42dd-40ab-8347-57ec9f1a3d9c,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,196.09629149666668,8f31262a-df01-43cb-974b-000278a3e8bd,2020-12-10 16:40:00.000,5142,2,0
2021-02-01 12:15:51.960,d4970a00-9398-4ab0-8cff-8403a4f131b5,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,13.691271353333333,3ff1a6a7-26a1-49a6-bbd2-000296a16f04,2021-02-01 16:40:00.000,5142,2,0
2021-04-22 07:04:25.370,b4cf2360-4dd6-465e-949f-d8f690163a9d,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,2.23608792,f6f44b47-aac3-42fd-818b-00029d255e59,2021-04-22 16:40:00.000,5142,2,0
2021-01-29 21:21:17.840,f0e58edf-ddac-469e-a1ea-f5587c92ee44,0,200,600,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,2.035529626666667,f60add54-10ee-4e22-ab01-0002cfad05bf,2021-01-29 16:40:00.000,5142,2,0
2021-01-27 14:34:46.423,0a865ed8-540d-420d-a429-43901f40dd70,0,250,2000,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0,ed48348d-73e0-4d5e-8135-0002dbeac4ff,2021-01-27 16:40:00.000,5142,2,0
2020-12-16 23:18:43.940,fef43c7f-39ab-45da-acb1-a8ab43af149f,1,200,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0.09191949833333334,c5cdf03b-ee92-42c0-ae75-00030ac2ef48,2020-12-16 16:40:00.000,5142,2,0
2021-05-26 13:06:21.653,2e78d0b1-73c9-4eda-ba67-a79904c9000d,0,2001,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,25.607798648333333,81294899-1f2c-4d0a-8e9b-00035885f5f6,2021-05-26 16:40:00.000,5142,2,0
2020-12-29 15:10:26.490,93d4a1f9-f37f-4c3f-bb53-c9f61658037b,0,200,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,96.83541771,a99d1420-6050-43c6-85e5-000387bfcfeb,2020-12-29 16:40:00.000,5142,2,0
2020-12-28 08:36:46.723,746fd317-accb-405e-a8d1-e59373369f18,0,200,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,113.28445773,c4c93375-d1d2-4459-ae80-00043c2ded0d,2020-12-28 16:40:00.000,5142,2,0
2021-01-28 11:25:24.207,a5a2f64a-ccc1-4c27-a38a-625bf7996b80,0,200,600,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,6.315061431666667,bd34872f-ee31-4ad6-92a7-0004a0187cc5,2021-01-28 16:40:00.000,5142,2,0
2021-01-20 19:06:02.347,5189b5c7-cf52-4aa5-b6c4-59df8751ae8d,0,250,50,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,66.26297642666667,c32a2e22-0682-4662-b1cb-00051bc92eb8,2021-01-20 16:40:00.000,5142,2,0
2021-01-26 10:01:03.770,b0b0864b-8c57-42f5-b457-a9e6145d5f55,0,201,2000,1457,2a2b14d0-55ef-4694-91c4-91030ab3f672,100,6.493862405,860d2043-0af7-4661-b445-000531617ca2,2021-01-25 00:00:00.000,4774,1,0
2021-05-14 01:44:42.673,73470c3f-7dc2-47aa-958d-d1e3adfc1028,0,300,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,0,70cff5fd-5229-4797-91ec-00053bf89c49,2021-04-19 16:40:00.000,5142,2,0
2021-02-20 04:39:03.237,b12753bf-f3e3-44b3-80e2-69b6bd58b7b7,0,300,500,29125,cd5e1afd-bbae-4ef3-a9f3-20d1492aca11,100,1.3332423533333333,0321f756-40a7-4050-9978-000599ec0039,2021-02-19 16:40:00.000,5142,2,0
